"","aardvark","alligator","ant","anteater","antelope","ape","bear","bird","blue jay","cat","cheetah","chimpanzee","cow","crow","dog","dolphin","donkey","duck","eagle","elephant","ferret","fish","fox","frog","giraffe","goat","gorilla","hawk","horse","hummingbird","kangaroo","lemur","leopard","lion","lizard","monkey","mouse","orangutan","ostrich","panther","parrot","penguin","pig","polar bear","porcupine","rabbit","rat","raven","rhinoceros","snake","spider","squirrel","tiger","turtle","whale","wolf","worm","zebra"
"chimpanzee",0,0,0,0,0,0,0,0,0.51604684654214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51604684654214,0,-0.327842673266191,0,0,0,0.606372614021752,0.41304347826087,-0.198810693121886,0,0,0,0,0,0,0,0,0,0,0,0,-0.256438822266086,0,0,0,0,0
"cow",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.27116307227332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205882352941177,0,0,0,0,0,-0.365636212063565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crow",0,0,0.368604890387243,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.529414301946585,0.529414301946585,0,0,0,0,0.229094897476328,0,0,0,0,0,0.278639106287676,0,0,0,0,0,0,0,0,0,0.280139716694305,0,0,0.678232998312527,0,0,0,0.280139716694305,0,0.51604684654214,0,0,0,0
"dog",0,0,0,0,0,0,0,0,0,0,-0.47026997156298,0,0,0,1,0,0,0,-0.277350098112615,0,0,0,0,0,-0.302235262413494,0,0,-0.411376675603721,0,0,0,0,0,0,0,0,-0.331496772065898,0,0,0,-0.366899692852671,-0.554700196225229,0,0,0,-0.255704155978379,-0.331496772065898,0,0,0.219264504826757,-0.302235262413494,0,0,0,0,0,0,0
"dolphin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.366899692852671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444793709791422,0,0,0,0,0,0,0,0.293519754282137,0,0.444793709791422,0.293519754282137,0,0,0,0.293519754282137,0,0,0,0,0,0
"donkey",0,0,0,0,0,0.134839972492648,0,0.377964473009227,0,0,0,0,-0.27116307227332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209165006633519,0,0,0.27116307227332,0,0,0,0,0,0.741619848709566,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0
"duck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366899692852671,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.35,0,0,0,0,0,0,0,0,0,0
"eagle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.277350098112615,0,0,0,1,0,0,0,0,0,0,0,0,0.674199862463242,0,0,0,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"elephant",0,0.275646806067923,0,0,0,0,-0.480670319495552,0,0.366899692852671,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366899692852671,0,0,0,0,0,0,0.303904001878294,0,0,0,0,0,0.331496772065898,0,0,0.335164835164835
"ferret",0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.368781778291715,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish",0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294883912309794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0
"fox",0,0,0,0,0,0,0,0,0,0,0,0,0,0.529414301946585,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0.529150262212918,0,0,0,0,0,0,0,0,0,0
"frog",0.293640068444207,0,0.377964473009227,0.377964473009227,0,0,0,0,0,0,0,0,0,0.529414301946585,0,0,0,0,0,0,0,0,0,1,0,0.433200112721982,0,0,0.293640068444207,0,0,0,0,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.529150262212918,0,0,0,0.188982236504614,0,0.377964473009227,0,0,0,0
