id,group,FORK,SKIRT,MUSTARD,BUTTERFLY,CELERY,LILY,STOMACH,SILVER,PINEAPPLE,BUS,SALMON,UNCLE,RABBIT,HAIRDRESSER,TABLECLOTH,ZEBRA,LIP,CAKE,FLUTE,THUMB,WRENCH,FIR TREE,JUICER,RAVEN
2012,scientists,KNIFE,GIRL,DIJON,FLOWER,STICK,LOTUS,FOOD,WARE,DOLE,YELLOW,RIVER,RELATIVE,SHEEP,SALON,CHAIR,DONKEY,BALM,BIRTHDAY,PIPER,STAMP,MECHANIC,FICUS,ORANGE,BIRD
2013,scientists,KNIFE,BLOUSE,MAYO,WING,CARROT,FLOWER,FOOD,GOLD,FRUIT,CAR,FISH,AUNT,MOUSE,SCISSORS,CHAIR,ZOO,KISS,SWEET,MUSIC,UP,TOOL,PINE,APPLE,BIRD
2014,scientists,KNIFE,DRESS,KETCHUP,WINGS,CARROT,TULIP,GUT,GOLD,PEAR,TRAIN,FISH,AUNT,FUR,BARBER,CHAIR,ZOO,MOUTH,DESSERT,MUSIC,FINGER,TOOL,FOREST,DRINK,BIRD
2016,scientists,SPOON,DRESS,KETCHUP,MOTH,CARROT,FLOWER,GUT,GOLD,COCONUT,TRUCK,FISH,AUNT,BUNNY,BARBER,CHAIR,STRIPES,MOUTH,FROSTING,CLARINET,FINGER,PLIERS,SHRUB,DRINK,BLACKBIRD
2017,scientists,SHARP,CLOTHES,YELLOW,COLORFUL,VEGETABLE,FLOWER,PAIN,SHINY,SOUR,BIG,HEALTHY,STRONG,FAST,SCISSORS,WOOD,STRIPE,STICK,BIRTHDAY,SOUND,UP,STEEL,TALL,SWEET,BLACK
2018,scientists,KNIFE,CLOTHING,CONDIMENT,INSECT,VEGETABLE,FLOWER,BODY,GOLD,FRUIT,VEHICLE,FISH,AUNT,ANIMAL,SCISSORS,FURNITURE,STRIPES,MOUTH,DESSERT,MUSICAL,FINGER,TOOL,FOREST,ORANGE,BLACK
2019,scientists,SPOON,DRESS,YELLOW,WING,GREEN,FLOWER,BELLY,GOLD,FRUIT,SCHOOL,FISH,NEPHEW,BUNNY,STYLE,CHAIR,STRIPE,MOUTH,CHOCOLATE,LONG,FINGER,TOOL,FOREST,ORANGE,BLACK
2020,scientists,SHARP,SHORT,YELLOW,PRETTY,HEALTHY,BEAUTIFUL,FULL,EXPENSIVE,YELLOW,BIG,PINK,DEAR,FAST,PRETTY,BIG,STRIPES,SENSITIVE,MOIST,LONG,OPPOSING,LOG,GREEN,BREAKFAST,BLACK
2021,scientists,SPOON,PANTS,KETCHUP,MOTH,CARROT,FLOWER,INTESTINE,GOLD,FRUIT,YELLOW,FISH,AUNT,BUNNY,STYLIST,CHAIR,HORSE,MOUTH,BIRTHDAY,MUSIC,FINGER,SCREW,EVERGREEN,ORANGE,CROW
2022,scientists,KNIFE,WOMAN,KETCHUP,BIRD,VEGETABLE,FLOWER,HUNGER,GOLD,FRUIT,TRANSPORTATION,FISH,AUNT,FUR,BARBER,CHAIR,STRIPES,FACE,FROSTING,MUSIC,FINGER,TOOL,TALL,LIQUID,BIRD
2023,scientists,KNIFE,TOP,KETCHUP,FLOWER,STICK,PAD,ACHE,GOLD,JUICE,CAR,FISH,AUNT,HOLE,BRUSH,CHAIR,STRIPES,MOUTH,ICING,INSTRUMENT,FINGER,SCREW,PINECONE,MILK,BIRD
2024,scientists,KNIFE,GIRL,KETCHUP,WINGS,CARROT,PAD,ACHE,GOLD,JUICE,STOP,RIVER,AUNT,FUR,SALON,CHAIR,GIRAFFE,LIPSTICK,BIRTHDAY,ORCHESTRA,PINKY,NUT,PRESENTS,APPLE,BLACK
2025,scientists,SPOON,DRESS,KETCHUP,WINGS,SALAD,PAD,BELLY,GOLD,SLICE,STOP,FISH,AUNT,EARS,HAIRCUT,CHAIR,STRIPES,SMILE,ICING,FLUTIST,HAND,HAMMER,FOREST,ORANGE,BLACK
2026,scientists,SPOON,DRESS,KETCHUP,CATERPILLAR,CARROT,DAFFODIL,ACHE,GOLD,FRUIT,CAR,TROUT,AUNT,ANIMAL,BARBER,CHAIR,ANIMAL,MOUTH,PIE,SYMPHONY,HAND,SCREWDRIVER,PINE,MILK,COW
2027,scientists,SPOON,PANTS,MAYONNAISE,CATERPILLAR,CARROT,WHITE,FOOD,GOLD,JUICE,TRAIN,FISH,AUNT,BUNNY,STYLIST,CHAIR,STRIPES,LICK,BIRTHDAY,PIPE,FINGER,BOLT,PINE,ORANGE,BLACK
2028,scientists,SPOON,DRESS,KETCHUP,COCOON,STOCK,FLOWER,ACHE,MEDAL,COCONUT,CAR,FISH,AUNT,HOLE,STYLIST,CHAIR,STRIPES,KISS,BIRTHDAY,INSTRUMENT,HAND,TOOL,EVERGREEN,ORANGE,BIRD
2029,scientists,SPOON,DRESS,KETCHUP,WING,STICK,FLOWER,HUNGRY,GOLD,HAWAII,SCHOOL,FISH,AUNT,EAR,CUT,CHAIR,STRIPE,TONGUE,BIRTHDAY,MUSIC,FINGER,TOOL,GREEN,FRUIT,CROW
2030,scientists,KNIFE,DRESS,RELISH,WING,STALK,PAD,ACHE,GOLD,BEAR,CAR,FISH,AUNT,OX,WOMEN,CHAIR,LION,KISS,BIRTHDAY,MUSIC,FINGER,PLIERS,PINE,ORANGE,NIGHT
2032,scientists,SPOON,DRESS,KETCHUP,MOTH,STICK,PAD,ACHE,SHINY,FRUIT,STOP,FISH,AUNT,SOFT,SALON,CHAIRS,STRIPES,KISS,SWEET,MUSIC,FINGERS,TOOL,FOREST,ORANGE,BIRD
