id,group,condition,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1002,artists,free,SKINNY,skinny,LILY,lily,0.82671,0.94286,0.89339,0.9702,0.8633,0.89929,0.15779
1002,artists,free,BOXING,boxing,LIP,lip,0.96739,0.9783,1.02474,0.97577,0.91669,0.97258,0.25516
1002,artists,common,NOSE,nose,LIP,lip,0.57174,0.67174,0.59954,0.84545,0.55383,0.64846,-0.09824
1002,artists,uncommon,NOSE,nose,LIP,lip,0.57174,0.67174,0.59954,0.84545,0.55383,0.64846,-0.09824
1002,artists,free,PREPARATION,preparation,MUSTARD,mustard,0.87279,0.92565,0.86509,1.05424,0.87592,0.91874,0.16913
1002,artists,common,SAUCE,sauce,MUSTARD,mustard,0.6011,0.62766,0.65679,0.72207,0.4364,0.6088,-0.10154
1002,artists,uncommon,TIGHTS,tights,MUSTARD,mustard,0.8209,0.88,0.87078,0.96574,0.93286,0.89406,0.15222
1002,artists,common,FRUIT,fruit,PINEAPPLE,pineapple,0.49696,0.62145,0.61108,0.73316,0.51861,0.59625,-0.13726
1002,artists,free,NEW YEAR'S EVE,new year eve,PINEAPPLE,pineapple,0.91024,1.02166,0.95523,0.99393,1.03051,0.98231,0.2403
1002,artists,uncommon,ORANGE,orange,PINEAPPLE,pineapple,0.60519,0.69859,0.81267,0.77062,0.65688,0.70879,-0.01162
1002,artists,uncommon,ANIMAL,animal,RABBIT,rabbit,0.57093,0.78414,0.59643,0.85237,0.62098,0.68497,-0.07453
1002,artists,common,DOG,dog,RABBIT,rabbit,0.55256,0.81208,0.50013,0.97057,0.55998,0.67906,-0.10826
1002,artists,free,WHITE,white,RABBIT,rabbit,0.74726,0.82234,0.89551,1.01118,0.76341,0.84794,0.10247
1002,artists,uncommon,RAVE,rave,RAVEN,raven,0.91164,1.01619,0.93595,1.08935,0.92645,0.97592,0.22281
1002,artists,free,RENT,rent,RAVEN,raven,0.92854,1.08209,1.02066,0.98887,1.00868,1.00577,0.26869
1002,artists,common,WING,wing,RAVEN,raven,0.80582,0.82925,0.85491,0.54824,0.95262,0.79817,0.12094
1002,artists,free,BONE,bone,SALMON,salmon,0.91817,0.95493,0.95216,0.94866,0.81934,0.91865,0.19901
1002,artists,common,FISH,fish,SALMON,salmon,0.42191,0.46418,0.40316,0.23058,0.3458,0.37313,-0.28929
1002,artists,uncommon,FISH,fish,SALMON,salmon,0.42191,0.46418,0.40316,0.23058,0.3458,0.37313,-0.28929
1002,artists,uncommon,GOLD,gold,SILVER,silver,0.29947,0.45726,0.27941,0.13038,0.15191,0.26369,-0.40073
