id,group,condition,response,response_clean,item,item_clean,SemDis_MEAN,SemDis_factor
1003,artists,free,LEGS,legs,SKIRT,skirt,0.74301,-0.00502
1003,artists,free,INTESTINE,intestine,STOMACH,stomach,0.42326,-0.22929
1003,artists,free,DIRTY,dirty,TABLECLOTH,tablecloth,0.80485,0.06921
1003,artists,free,SCAN,scan,THUMB,thumb,0.91407,0.17047
1003,artists,free,BROTHER,brother,UNCLE,uncle,0.4293,-0.3224
1003,artists,free,TIGHT,tight,WRENCH,wrench,0.87257,0.14586
1003,artists,free,HABITAT,habitat,ZEBRA,zebra,0.76578,0.07532
1003,artists,uncommon,TRUCK,truck,BUS,bus,0.57653,-0.12166
1003,artists,uncommon,ORANGE,orange,BUTTERFLY,butterfly,0.88678,0.11952
1003,artists,uncommon,TOO,too,CAKE,cake,0.85371,0.11095
1003,artists,uncommon,CARROT,carrot,CELERY,celery,0.53744,-0.19753
1003,artists,uncommon,MOUNTAIN,mountain,FIR TREE,fir tree,1.01409,0.2893
1003,artists,uncommon,MELODY,melody,FLUTE,flute,0.57209,-0.13507
1003,artists,uncommon,SPOON,spoon,FORK,fork,0.57928,-0.09126
1003,artists,uncommon,SMELL,smell,HAIRDRESSER,hairdresser,0.89266,0.12428
1003,artists,uncommon,SWEET,sweet,JUICER,juicer,0.84372,0.11525
1003,artists,uncommon,FLOWER,flower,LILY,lily,0.70957,-0.05943
1003,artists,uncommon,BALM,balm,LIP,lip,0.70055,-0.01387
1003,artists,uncommon,KETCHUP,ketchup,MUSTARD,mustard,0.57433,-0.08329
1003,artists,uncommon,BLUE,blue,PINEAPPLE,pineapple,0.91049,0.16455
1003,artists,uncommon,FURRY,furry,RABBIT,rabbit,0.66151,-0.04052
1003,artists,uncommon,BLACK,black,RAVEN,raven,0.8056,0.03912
1003,artists,uncommon,STREAM,stream,SALMON,salmon,0.79593,0.08141
1003,artists,uncommon,GOLD,gold,SILVER,silver,0.26369,-0.406
1003,artists,uncommon,DRESS,dress,SKIRT,skirt,0.43406,-0.24473
1003,artists,uncommon,PAIN,pain,STOMACH,stomach,0.69292,-0.04212
1003,artists,uncommon,CHAIR,chair,TABLECLOTH,tablecloth,0.73108,0.02399
1003,artists,uncommon,PRINT,print,THUMB,thumb,0.83755,0.09323
1003,artists,uncommon,AUNT,aunt,UNCLE,uncle,0.36253,-0.31397
1003,artists,uncommon,HAMMER,hammer,WRENCH,wrench,0.61056,-0.08885
1003,artists,uncommon,STRIPE,stripe,ZEBRA,zebra,0.77255,0.04405
1004,artists,common,SCHOOL,school,BUS,bus,0.75397,0.03213
1004,artists,common,BEAUTIFUL,beautiful,BUTTERFLY,butterfly,0.77921,0.02078
1004,artists,common,EAT,eat,CAKE,cake,0.69532,-0.05957
1004,artists,common,GREEN,green,CELERY,celery,0.8371,0.105
1004,artists,common,CHRISTMAS TREE,christmas tree,FIR TREE,fir tree,0.71882,-0.02147
1004,artists,common,MUSIC,music,FLUTE,flute,0.60068,-0.08433
